batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,class_out,activation,dropout,mae_Score,R2_Score
16,5,7,3,0.0001,512,256,16,relu,0.0,0.021979503333568573,0.6884488463401794
16,5,7,3,0.0001,512,256,16,relu,0.1,0.023133259266614914,0.5955467224121094
16,5,7,3,0.0001,512,256,16,relu,0.2,0.11722864210605621,-0.4478173851966858
16,5,7,3,0.0001,512,256,16,elu,0.0,0.025819072499871254,0.5814056992530823
16,5,7,3,0.0001,512,256,16,elu,0.1,0.024833984673023224,0.5911264419555664
16,5,7,3,0.0001,512,256,16,elu,0.2,0.024340126663446426,0.5871551036834717
16,5,7,3,0.0001,512,256,32,relu,0.0,0.021767238155007362,0.6976378560066223
16,5,7,3,0.0001,512,256,32,relu,0.1,0.021467333659529686,0.6854256391525269
16,5,7,3,0.0001,512,256,32,relu,0.2,0.021473407745361328,0.7041406035423279
16,5,7,3,0.0001,512,256,32,elu,0.0,0.1172289028763771,-0.4478183388710022
16,5,7,3,0.0001,512,256,32,elu,0.1,0.024663640186190605,0.668341875076294
16,5,7,3,0.0001,512,256,32,elu,0.2,0.024303441867232323,0.5901095271110535
16,5,7,3,0.0001,512,256,64,relu,0.0,0.022259360179305077,0.6857433319091797
16,5,7,3,0.0001,512,256,64,relu,0.1,0.021792137995362282,0.6954059600830078
16,5,7,3,0.0001,512,256,64,relu,0.2,0.022624272853136063,0.6838407516479492
16,5,7,3,0.0001,512,256,64,elu,0.0,0.023280851542949677,0.6830637454986572
16,5,7,3,0.0001,512,256,64,elu,0.1,0.02391437627375126,0.675582230091095
16,5,7,3,0.0001,512,256,64,elu,0.2,0.024605585262179375,0.6722376346588135
